date,ch.kof.stringency.ag.stringency_plus,ch.kof.stringency.ai.stringency_plus,ch.kof.stringency.ar.stringency_plus,ch.kof.stringency.be.stringency_plus,ch.kof.stringency.bl.stringency_plus,ch.kof.stringency.bs.stringency_plus,ch.kof.stringency.ch.stringency_plus,ch.kof.stringency.fr.stringency_plus,ch.kof.stringency.ge.stringency_plus,ch.kof.stringency.gl.stringency_plus,ch.kof.stringency.gr.stringency_plus,ch.kof.stringency.ju.stringency_plus,ch.kof.stringency.lu.stringency_plus,ch.kof.stringency.ne.stringency_plus,ch.kof.stringency.nw.stringency_plus,ch.kof.stringency.ow.stringency_plus,ch.kof.stringency.sg.stringency_plus,ch.kof.stringency.sh.stringency_plus,ch.kof.stringency.so.stringency_plus,ch.kof.stringency.sz.stringency_plus,ch.kof.stringency.tg.stringency_plus,ch.kof.stringency.ti.stringency_plus,ch.kof.stringency.ur.stringency_plus,ch.kof.stringency.vd.stringency_plus,ch.kof.stringency.vs.stringency_plus,ch.kof.stringency.zg.stringency_plus,ch.kof.stringency.zh.stringency_plus
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2020-02-28,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
2020-02-29,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
2020-03-01,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-02,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-03,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-04,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-05,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-06,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-07,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-08,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-09,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-10,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-11,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-12,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
2020-03-13,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
2020-03-14,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
2020-03-15,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5
2020-03-16,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5
2020-03-17,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333
2020-03-18,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333,65.8333
2020-03-19,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-20,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-21,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-22,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-23,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-24,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-25,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-26,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-27,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-28,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-29,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-30,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-03-31,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-04-01,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333,70.8333
2020-04-02,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-03,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-04,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-05,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-06,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-07,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-08,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-09,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-10,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-11,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-12,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-13,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-14,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-15,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-16,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-17,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-18,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-19,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-20,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-21,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-22,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-23,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-24,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-25,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-26,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-27,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-28,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-29,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-04-30,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-05-01,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-05-02,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-05-03,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-05-04,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-05-05,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
2020-05-06,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333,73.3333
